phi,M(kNm)
3.05E-11,1.04E+08
3.06E-11,1.04E+08
3.07E-11,1.04E+08
3.08E-11,1.04E+08
3.09E-11,1.04E+08
3.10E-11,1.04E+08
3.11E-11,1.04E+08
3.12E-11,1.04E+08
3.13E-11,1.04E+08
3.14E-11,1.04E+08
3.15E-11,1.04E+08
3.16E-11,1.04E+08
3.17E-11,1.04E+08
3.18E-11,1.04E+08
3.19E-11,1.03E+08
3.20E-11,1.03E+08
3.21E-11,1.03E+08
3.22E-11,1.03E+08
3.23E-11,1.03E+08
3.24E-11,1.03E+08
3.25E-11,1.03E+08
3.26E-11,1.03E+08
3.27E-11,1.03E+08
3.28E-11,1.03E+08
3.29E-11,1.03E+08
3.30E-11,1.03E+08
3.31E-11,1.03E+08
3.32E-11,1.03E+08
3.33E-11,1.03E+08
3.34E-11,1.03E+08
3.35E-11,1.03E+08
3.36E-11,1.03E+08
3.37E-11,1.03E+08
3.38E-11,1.03E+08
3.39E-11,1.02E+08
3.40E-11,1.02E+08
3.41E-11,1.02E+08
3.42E-11,1.02E+08
3.43E-11,1.02E+08
3.44E-11,1.02E+08
3.45E-11,1.02E+08
3.46E-11,1.02E+08
3.47E-11,1.02E+08
3.48E-11,1.02E+08
3.49E-11,1.02E+08
3.50E-11,1.02E+08
